,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,journalist_follower_count
23911915,joshledermanAP,"Lederman, Josh",Associated Press,Foreign Policy & National Security Reporter,M,23760,2791,28782,Thu Mar 12 06:26:39 +0000 2009,True,False,460.0,46.0,61.0,141.0,708.0,609
16753660,mikedebonis,"DeBonis, Mike",Washington Post,Congress Reporter,M,33572,1372,45050,Wed Oct 15 03:23:55 +0000 2008,True,False,248.0,122.0,239.0,243.0,852.0,604
77032777,apalmerdc,"Palmer, Anna A.",Politico,Senior Washington Correspondent,F,30523,1702,5388,Thu Sep 24 20:18:35 +0000 2009,True,False,24.0,28.0,3.0,66.0,121.0,591
116341480,RosieGray,"Gray, Rosie",The Atlantic,Staff Writer,F,96935,2044,62369,Mon Feb 22 03:27:53 +0000 2010,True,False,231.0,161.0,172.0,419.0,983.0,589
18646108,BretBaier,"Baier, Bret",Fox News,"Chief Political Anchor & Anchor & Executive Editor, Special Report",M,1095184,6913,52271,Mon Jan 05 21:05:43 +0000 2009,True,False,139.0,615.0,2.0,1623.0,2379.0,582
19608273,Milbank,"Milbank, Dana",Washington Post,Columnist,M,71589,663,3175,Tue Jan 27 18:55:18 +0000 2009,True,False,92.0,6.0,11.0,15.0,124.0,570
237477771,juliehdavis,"Davis, Julie",New York Times,White House Reporter,F,49821,808,5557,Wed Jan 12 23:04:39 +0000 2011,True,False,186.0,99.0,19.0,106.0,410.0,570
407013776,burgessev,"Everett, John B.",Politico,Congressional Reporter,M,31010,1782,27294,Mon Nov 07 14:22:19 +0000 2011,True,False,836.0,344.0,275.0,218.0,1673.0,570
58869089,margarettalev,"Talev, Margaret",Bloomberg News,Senior White House Reporter,F,19588,4517,4442,Tue Jul 21 18:06:26 +0000 2009,True,False,122.0,30.0,5.0,230.0,387.0,569
14870670,KateNocera,"Nocera, Kate",BuzzFeed,DC Bureau Chief,F,27714,1807,29707,Thu May 22 17:06:36 +0000 2008,True,False,191.0,77.0,207.0,809.0,1284.0,567
12245632,jackshafer,"Shafer, Jack",Politico,"Senior Media Writer, Politico Magazine",M,73996,974,44726,Tue Jan 15 00:39:38 +0000 2008,True,False,560.0,8.0,861.0,587.0,2016.0,565
46817943,brikeilarcnn,"Keilar, Brianna",CNN,Senior Washington Correspondent,F,105276,1009,4968,Sat Jun 13 03:39:35 +0000 2009,True,False,52.0,30.0,6.0,68.0,156.0,557
74820061,Redistrict,"Wasserman, David N.",Cook Political Report,U.S. House Editor,M,72659,805,9214,Wed Sep 16 19:50:43 +0000 2009,True,False,111.0,22.0,38.0,36.0,207.0,555
22772264,carolelee,"Lee, Carol",Wall Street Journal / Dow Jones,White House Correspondent,F,31840,1376,2641,Wed Mar 04 13:49:56 +0000 2009,True,False,8.0,6.0,0.0,17.0,31.0,552
21251668,DavidChalian,"Chalian, David",CNN,Political Director,M,36299,3917,8344,Wed Feb 18 22:52:31 +0000 2009,True,False,101.0,3.0,10.0,44.0,158.0,550
15159913,JFKucinich,"Kucinich, Jacqueline",Daily Beast,Washington Bureau Chief,F,31210,2527,14109,Wed Jun 18 17:04:23 +0000 2008,True,False,35.0,60.0,32.0,150.0,277.0,549
30043495,JohnKingCNN,"King, John",CNN,Chief National Correspondent,M,272429,1694,6739,Thu Apr 09 19:03:26 +0000 2009,True,False,15.0,0.0,0.0,4.0,19.0,548
104299137,DavidMDrucker,"Drucker, David",Washington Examiner,Senior Political Correspondent,M,35033,2483,104613,Tue Jan 12 22:56:50 +0000 2010,True,False,824.0,1955.0,751.0,1377.0,4907.0,548
82167518,aseitzwald,"Seitz-Wald, Alexander",NBC News,Political Reporter,M,39610,3009,50243,Tue Oct 13 19:13:32 +0000 2009,True,False,203.0,123.0,92.0,264.0,682.0,547
16006592,BenjySarlin,"Sarlin, Benjamin",NBC News,Political Reporter,M,78075,1707,72251,Wed Aug 27 02:27:23 +0000 2008,True,False,527.0,619.0,498.0,369.0,2013.0,546
19847765,sahilkapur,"Kapur, Sahil",Bloomberg News,National Political Reporter,M,69086,530,51628,Sun Feb 01 05:18:57 +0000 2009,True,False,563.0,195.0,853.0,411.0,2022.0,545
36890646,danmericaCNN,"Merica, Daniel",CNN,Political Producer,M,59283,2051,28914,Fri May 01 05:21:55 +0000 2009,True,False,379.0,189.0,46.0,97.0,711.0,543
23232204,ShaneGoldmacher,"Goldmacher, Shane",Politico,Chief White House Correspondent,M,35989,2460,32146,Sat Mar 07 20:42:24 +0000 2009,True,False,166.0,186.0,47.0,248.0,647.0,538
297532865,kwelkernbc,"Welker, Kristen",NBC News,White House Correspondent,F,99234,2679,2970,Thu May 12 17:28:26 +0000 2011,True,False,41.0,5.0,0.0,0.0,46.0,537
20281013,EvanMcS,"McMorris-Santoro, Evan",Vice News,Correspondent,M,29318,3692,67,Fri Feb 06 23:09:59 +0000 2009,True,False,219.0,114.0,116.0,56.0,505.0,537
250784170,StuPolitics,"Rothenberg, Stuart",InsidePolitics,Editor,M,33757,415,15759,Fri Feb 11 20:09:49 +0000 2011,False,False,325.0,514.0,253.0,608.0,1700.0,536
